提前1:1,奉我們救主神，和我們的盼望基督耶穌之命，作基督耶穌使徒的保羅，
提前1:2,寫信給那因信主作我真兒子提摩太，願恩惠憐憫平安，從父神和我們主基督耶穌，歸與你。
提前1:3,我往馬其頓去的時候，曾勸你仍住在以弗所，好囑咐那幾個人，不可傳異教，
提前1:4,也不可聽從荒渺無憑的話語，和無窮的家譜，這等事只生辯論，並不發明神在信上所立章程。
提前1:5,但命令的總歸就是愛，這愛是從清潔的心，和無虧的良心，無偽的信心，生出來的。
提前1:6,有人偏離這些，反去講虛浮的話。
提前1:7,想要作教法師，卻不明白自己所講說的，所論定的。
提前1:8,我們知道律法原是好的，只要人用得合宜。
提前1:9,因為律法不是為義人設立的，乃是為不法和不服的，不虔誠和犯罪的，不聖潔和戀世俗的，弒父母和殺人的，
提前1:10,行淫和親男色的，搶人口和說謊話的，並起假誓的，或是為別樣敵正道的事設立的。
提前1:11,這是照著可稱頌之神交託我榮耀福音說的。
提前1:12,我感謝那給我力量的，我們主基督耶穌，因他以我有忠心，派我服事他。
提前1:13,我從前是褻瀆神的，逼迫人的，侮慢人的，然而我還蒙了憐憫，因我是不信不明白的時候而作的。
提前1:14,並且我主的恩是格外豐盛，使我在基督耶穌裡有信心和愛心。
提前1:15,基督耶穌降世，為要拯救罪人，這話是可信的，是十分可佩服的，在罪人中我是個罪魁。
提前1:16,然而我蒙了憐憫，是因耶穌基督要在我這罪魁身上，顯明他一切的忍耐，給後來信他得永生的人作榜樣。
提前1:17,但願尊貴榮耀歸與那不能朽壞不能看見永世的君王，獨一的神，直到永永遠遠。阿們。
提前1:18,我兒提摩太阿，我照從前指著你的豫言，將這命令交託你，叫你因此可以打那美好的仗。
提前1:19,常存信心，和無虧的良心，有人丟棄良心，就在真道上如同船破壞了一般。
提前1:20,其中有許米乃和亞力山大，我已經把他們交給撒但，使他們受責罰，就不再謗瀆了。
