約5:1,這事以後，到了猶太人的一個節期，耶穌就上耶路撒泠去。
約5:2,在耶路撒泠，靠近羊門有一個池子，希伯來話叫作畢士大，旁邊有五個廊子。
約5:3,裡面躺著瞎眼的，瘸腿的，血氣枯乾的，許多病人。〔有古卷在此有等候水動〕
約5:4,〔因為有天使按時下池子攪動那水水動之後誰先下去無論害甚麼病就痊癒了〕
約5:5,在那裡有一個人，病了三十八年。
約5:6,耶穌看見他躺著，知道他病了許久，就問他說：你要痊癒麼。
約5:7,病人回答說：先生，水動的時候，沒有人把我放在池子裡，我正去的時候，就有別人比我先下去。
約5:8,耶穌對他說：起來，拿你的褥子走罷。
約5:9,那人立刻痊癒，就拿起褥子來走了。
約5:10,那天是安息日，所以猶太人對那醫好的人說：今天是安息日，你拿褥子是不可的。
約5:11,他卻回答說：那使我痊癒的，對我說：拿你的褥子走罷。
約5:12,他們問他說：對你說拿褥子走的，是甚麼人。
約5:13,那醫好的人不知道是誰，因為那裡的人多，耶穌已經躲開了。
約5:14,後來耶穌在殿裡遇見他，對他說：你已經痊癒了，不要再犯罪，恐怕你遭遇的更加利害。
約5:15,那人就去告訴猶太人，使他痊癒的是耶穌。
約5:16,所以猶太人逼迫耶穌，因為他在安息日作了這事。
約5:17,耶穌就對他們說：我父作事直到如今，我也作事。
約5:18,所以猶太人越發想要殺他，因他不但犯了安息日，並且稱神為他的父，將自己和神當作平等。
約5:19,耶穌對他們說：我實實在在的告訴你們，子憑著自己不能作甚麼，惟有看見父所作的，子才能作，父所作的事，子也照樣作。
約5:20,父愛子，將自己所作的一切事指給他看，還要將比這更大的事指給他看，叫你們希奇。
約5:21,父怎樣叫死人起來，使他們活著，子也照樣隨自己的意思使人活著。
約5:22,父不審判甚麼人，乃將審判的事全交與子。
約5:23,叫人都尊敬子如同尊敬父一樣。不尊敬子的，就是不尊敬差子來的父。
約5:24,我實實在在的告訴你們，那聽我話，又信差我來者的，就有永生，不至於定罪，是已經出死入生了。
約5:25,我實實在在的告訴你們，時候將到，現在就是了，死人要聽見神兒子的聲音，聽見的人就要活了。
約5:26,因為父怎樣在自己有生命，就賜給他兒子也照樣在自己有生命。
約5:27,並且因為他是人子，就賜給他行審判的權柄。
約5:28,你們不要把這事看作希奇，時候要到，凡在墳墓裡的，都要聽見他的聲音，就出來。
約5:29,行善的復活得生，作惡的復活定罪。
約5:30,我憑著自己不能作甚麼，我怎麼聽見，就怎麼審判，我的審判也是公平的，因為我不求自己的意思，只求那差我者的意思。
約5:31,我若為自己作見證，我的見證就不真。
約5:32,另有一位給我作見證，我也知道他給我作的見證是真的。
約5:33,你們曾差人到約翰那裡，他為真理作過見證。
約5:34,其實我所受的見證，不是從人來的，然而我說這些話，為要叫你們得救。
約5:35,約翰是點著的明燈，你們情願暫時喜歡他的光。
約5:36,但我有比約翰更大的見證，因為父交給我要我成就的事，就是我所作的事，這便見證我是父所差來的。
約5:37,差我來的父也為我作過見證。你們從來沒有聽見他的聲音，也沒有看見他的形像。
約5:38,你們並沒有他的道存在心裡，因為他所差來的，你們不信。
約5:39,你們查考聖經，〔或作應當查考聖經〕因你們以為內中有永生，給我作見證的就是這經。
約5:40,然而你們不肯到我這裡來得生命。
約5:41,我不受從人來的榮耀。
約5:42,但我知道你們心裡，沒有神的愛。
約5:43,我奉我父的名來，你們並不接待我，若有別人奉自己的名來，你們倒要接待他。
約5:44,你們互相受榮耀，卻不求從獨一之神來的榮耀，怎能信我呢。
約5:45,不要想我在父面前要告你們，有一位告你們的，就是你們所仰賴的摩西。
約5:46,你們如果信摩西，也必信我，因為他書上有指著我寫的話。
約5:47,你們若不信他的書，怎能信我的話呢。
