路8:1,過了不多日，耶穌周遊各城各鄉傳道，宣講神國的福音，和他同去的有十二個門徒，
路8:2,還有被惡鬼所附，被疾病所累，已經治好的幾個婦女，內中有稱為抹大拉的馬利亞，曾有七個鬼從他身上趕出來。
路8:3,又有希律的家宰苦撒的妻子約亞拿，並蘇撒拿，和好些別的婦女，都是用自己的財物供給耶穌和門徒。
路8:4,當許多人聚集，又有人從各城裡出來見耶穌的時候，耶穌就用比喻說：
路8:5,有一個撒種的出去撒種，撒的時候，有落在路旁的，被人踐踏，天上的飛鳥又來吃盡了。
路8:6,有落在磐石上的，一出來就枯乾了，因為得不著滋潤。
路8:7,有落在荊棘裡的，荊棘一同生長，把它擠住了。
路8:8,又有落在好土裡的，生長起來，結實百倍。耶穌說了這話，就大聲說：有耳可聽的，就應當聽。
路8:9,門徒問耶穌說：這比喻是甚麼意思呢。
路8:10,他說：神國的奧秘，只叫你們知道，至於別人，就用比喻，叫他們看也看不見，聽也聽不明。
路8:11,這比喻乃是這樣，種子就是神的道。
路8:12,那些在路旁的，就是人聽了道，隨後魔鬼來，從他們心裡，把道奪去，恐怕他們信了得救。
路8:13,那些在磐石上的，就是人聽道，歡喜領受，但心中沒有根，不過暫時相信，及至遇見試煉就退後了。
路8:14,那落在荊棘裡的，就是人聽了道，走開以後，被今生的思慮錢財宴樂擠住了，便結不出成熟的子粒來。
路8:15,那落在好土裡的，就是人聽了道，持守在誠實善良的心裡，並且忍耐著結實。
路8:16,沒有人點燈用器皿蓋上，或放在床底下，乃是放在燈臺上，叫進來的人看見亮光。
路8:17,因為掩藏的事，沒有不顯出來的，隱瞞的事，沒有不露出來被人知道的。
路8:18,所以你們應當小心怎樣聽，因為凡有的，還要加給他，凡沒有的，連他自以為有的，也要奪去。
路8:19,耶穌的母親和他弟兄來了，因為人多，不得到他跟前。
路8:20,有人告訴他說：你母親，和你弟兄，站在外邊，要見你。
路8:21,耶穌回答說：聽了神之道而遵行的人，就是我的母親，我的弟兄了。
路8:22,有一天耶穌和門徒上了船，對門徒說：我們可以渡到湖那邊去，他們就開了船。
路8:23,正行的時候，耶穌睡著了，湖上忽然起了暴風，船將滿了水，甚是危險。
路8:24,門徒來叫醒了他，說：夫子，夫子，我們喪命喇。耶穌醒了，斥責那狂風大浪，風浪就止住，平靜了。
路8:25,耶穌對他們說：你們的信心在那裡呢，他們又懼怕，又希奇，彼此說：這到底是誰，他吩咐風和水，連風和水也聽從他了。
路8:26,他們到了格拉森〔有古卷入加大拉〕人的地方，就是加利利的對面。
路8:27,耶穌上了岸，就有城裡一個被鬼附著的人，迎面而來，這個人許久不穿衣服，不住房子，只住在墳塋裡。
路8:28,他見了耶穌，就俯伏在他面前，大聲喊叫，說：至高神的兒子耶穌，我與你有甚麼相干，求你不要叫我受苦。
路8:29,是因耶穌曾吩咐污鬼從那人身上出來，原來這鬼屢次抓住他，他常被人看守，又被鐵鍊和腳鐐捆鎖，他竟把鎖鍊掙斷，被鬼趕到曠野去。
路8:30,耶穌問他說：你名叫甚麼，他說：我名叫群，這是因為附著他的鬼多。
路8:31,鬼就央求耶穌，不要吩咐他們到無底坑裡去。
路8:32,那裡有一大群豬，在山上吃食，鬼央求耶穌，准他們進入豬裡去，耶穌准了他們。
路8:33,鬼就從那人出來，進入豬裡去，於是那群豬闖下山崖，投在湖裡淹死了。
路8:34,放豬的看見這事就逃跑了，去告訴城裡和鄉下的人。
路8:35,眾人出來要看是甚麼事，到了耶穌那裡，看見鬼所離開的那人，坐在耶穌腳前，穿著衣服，心裡明白過來，他們就害怕。
路8:36,看見這事的，便將被鬼附著的人怎麼得救，告訴他們。
路8:37,格拉森四圍的人，因為害怕得很，都求耶穌離開他們，耶穌就上船回去了。
路8:38,鬼所離開的那人，懇求和耶穌同在，耶穌卻打發他回去，
路8:39,說：你回家去，傳說神為你作了何等大的事，他就去滿城裡傳揚耶穌為他作了何等大的事。
路8:40,耶穌回來的時候，眾人迎接他，因為他們都等候他。
路8:41,有一個管會堂的，名叫睚魯，來俯伏在耶穌腳前，求耶穌到他家裡去。
路8:42,因他有一個獨生女兒，約有十二歲，快要死了。耶穌去的時候，眾人擁擠他。
路8:43,有一個女人，患了十二年的血漏，在醫生手裡花盡了他一切養生的，並沒有一人能醫好他。
路8:44,他來到耶穌背後，摸他的衣裳繸子，血漏立刻就止住了。
路8:45,耶穌說：摸我的是誰，眾人都不承認，彼得和同行的人都說：夫子，眾人擁擁擠擠緊靠著你。〔有古卷在此有你還問摸我的是誰麼〕
路8:46,耶穌說：總有人摸我，因我覺得有能力從我身上出去。
路8:47,那女人知道不能隱藏，就戰戰兢兢的來俯伏在耶穌腳前，把摸他的緣故，和怎樣立刻得好了，當著眾人都說出來。
路8:48,耶穌對他說：女兒，你的信救了你，平平安安的去罷。
路8:49,還說話的時候，有人從管會堂的家裡來說：你的女兒子死了，不要勞動夫子。
路8:50,耶穌聽見就對他說：不要怕，只要信，你的女兒就必得救。
路8:51,耶穌到了他的家，除了彼得，約翰，雅各，和女兒的父母，不許別人同他進去。
路8:52,眾人都為這女兒哀哭捶胸。耶穌說：不要哭，他不是死了，是睡著了。
路8:53,他們曉得女兒已經死了，就嗤笑耶穌。
路8:54,耶穌拉著他的手，呼叫說：女兒，起來罷。
路8:55,他的靈魂便回來，他就立刻起來了，耶穌吩咐給他東西吃。
路8:56,他的父母驚奇得很，耶穌囑咐他們，不要把所作的事告訴人。
