羅8:1,如今那些在基督耶穌裡的，就不定罪了。
羅8:2,因為賜生命聖靈的律，在基督耶穌裡釋放了我，使我脫離罪和死的律了。
羅8:3,律法既因肉體軟弱，有所不能行的，神就差遣自己的兒子，成為罪身的形狀，作了贖罪祭，在肉體中定了罪案。
羅8:4,使律法的義，成就在我們這不隨從肉體，只隨從聖靈的人身上。
羅8:5,因為隨從肉體的人，體貼肉體的事，隨從聖靈的人，體貼聖靈的事。
羅8:6,體貼肉體的就是死，體貼聖靈的乃是生命平安。
羅8:7,原來體貼肉體，就是與神為仇，因為不服神的律法，也是不能服。
羅8:8,而且屬肉體的人，不能得神的喜歡。
羅8:9,如果神的靈住在你們心裡，你們就不屬肉體，乃屬聖靈了，人若沒有基督的靈，就不是屬基督的。
羅8:10,基督若在你們心裡，身體就因罪而死，心靈卻因義而活。
羅8:11,然而叫耶穌從死裡復活者的靈，若住在你們心裡，那叫基督耶穌從死裡復活的，也必藉著住在你們心裡的聖靈，使你們必死的身體又活過來。
羅8:12,弟兄們，這樣看來，我們並不是欠肉體的債，去順從肉體活著。
羅8:13,你們若順從肉體活著必要死，若靠著聖靈治死身體的惡行必要活著。
羅8:14,因為凡被神的靈引導的，都是神的兒子。
羅8:15,你們所受的不是奴僕的心，仍舊害怕，所受的乃是兒子心，因此我們呼叫阿爸，父。
羅8:16,聖靈與我們的心同證我們是神的兒女。
羅8:17,既是兒女，便是後嗣，就是神的後嗣，和基督同作後嗣，如果我們和他一同受苦，也必和他一同得榮耀。
羅8:18,我想現在的苦楚，若比起將來要顯於我們的榮耀，就不足介意了。
羅8:19,受造之物，切望等候神的眾子顯出來。
羅8:20,因為受造之物服在虛空之下，不是自己願意，乃是因那叫他如此的。
羅8:21,但受造之物仍然指望脫離敗壞的轄制，得享神兒女自由的榮耀。〔享原文作入〕
羅8:22,我們知道一切受造之物，一同歎息勞苦，直到如今。
羅8:23,不但如此，就是我們這有聖靈初結果子的，也是自己心裡歎息，等候得著兒子的名分，乃是我們的身體得贖。
羅8:24,我們得救是在乎盼望，只是所見的盼望不是盼望，誰還盼望他所看的呢。〔有古卷作人所看見的何必再盼望呢〕
羅8:25,但我們若盼望那所不見的，就必忍耐等候。
羅8:26,況且我們的軟弱有聖靈幫助，我們本不曉得當怎樣禱告，只是聖靈親自用說不出來的歎息，替我們禱告。
羅8:27,鑒察人心的，曉得聖靈的意思，因為聖靈照著神的旨意替聖徒祈求。
羅8:28,我們曉得萬事都互相效力，叫愛神的人得益處，就是按他旨意被召的人。
羅8:29,因為他豫先所知道的人，就豫先定下效法他兒子的模樣使他兒子在許多弟兄中作長子。
羅8:30,豫先所定下的人又召他們來，所召來的人，又稱他們為義，所稱為義的人，又叫他們得榮耀。
羅8:31,既是這樣，還有甚麼說的呢，神若幫助我們，誰能敵擋我們呢。
羅8:32,神既不愛惜自己的兒子為我們眾人捨了，豈不也把萬物和他一同白白的賜給我們麼。
羅8:33,誰能控告神所揀選的人呢，有神稱他們為義了。〔或作是稱他們為義的神麼〕
羅8:34,誰能定他們的罪呢，有基督耶穌已經死了，而且從死裡復活，現今在神的右邊，也替我們祈求。〔有基督云云或作是已經死了而且從死裡復活現今在神的右邊也替我們祈求的基督耶穌麼〕
羅8:35,誰能使我們與基督的愛隔絕呢，難道是患難麼，是困苦麼，是逼迫麼，是飢餓麼，是赤身露體麼，是危險麼，是刀劍麼。
羅8:36,如經上所記，『我們為你的緣故，終日被殺，人看我們如將宰的羊。』
羅8:37,然而靠著愛我們的主，在這一切的事上，已經得勝有餘了。
羅8:38,因為我深信無論是死，是生，是天使，是掌權的，是有能的，是現在的事，是將來的事，
羅8:39,是高處的，是低處的，是別的受造之物，都不能叫我們與神的愛隔絕，這愛是在我們的主基督耶穌裡的。
