撒下6:1,大衛又聚集以色列中所有挑選的人三萬。
撒下6:2,大衛起身率領跟隨他的眾人前往，要從巴拉猶大將神的約櫃運來，這約櫃，就是坐在二基路伯上萬軍之耶和華留名的約櫃。
撒下6:3,他們將神的約櫃，從岡上亞比拿達的家裡抬出來，放在新車上，亞比拿達的兩個兒子烏撒和亞希約趕這新車。
撒下6:4,他們將神的約櫃，從岡上亞比拿達家裡抬出來的時候，亞希約在櫃前行走。
撒下6:5,大衛和以色列的全家，在耶和華面前用松木製造的各樣樂器，和琴，瑟，鼓，鈸，鑼，作樂跳舞。
撒下6:6,到了拿艮的禾場，因為牛失前蹄，〔或作驚跳〕烏撒就伸手扶住神的約櫃。
撒下6:7,神耶和華向烏撒發怒，因這錯誤擊殺他，他就死在神的約櫃旁。
撒下6:8,大衛因耶和華擊殺〔原文作闖殺〕烏撒，心裡愁煩，就稱那地方為毘列斯烏撒，直到今日。
撒下6:9,那日大衛懼怕耶和華，說：耶和華的約櫃怎可運到我這裡來。
撒下6:10,於是大衛不肯將耶和華的約櫃運進大衛的城，卻運到迦特人，俄別以東的家中。
撒下6:11,耶和華的約櫃在迦特人俄別以東家中三個月，耶和華賜福給俄別以東和他的全家。
撒下6:12,有人告訴大衛王說：耶和華因為約櫃，賜福給俄別以東的家，和一切屬他的，大衛就去，歡歡喜喜的將神的約櫃，從俄別以東家中抬到大衛的城裡。
撒下6:13,抬耶和華約櫃的人走了六步，大衛就獻牛，與肥羊為祭。
撒下6:14,大衛穿著細麻布的以弗得，在耶和華面前極力跳舞。
撒下6:15,這樣，大衛和以色列的全家，歡呼吹角，將耶和華的約櫃抬上來。
撒下6:16,耶和華的約櫃進了大衛城的時候，掃羅的女兒米甲，從窗戶裡觀看，見大衛王在耶和華面前踴躍跳舞，心裡就輕視他。
撒下6:17,眾人將耶和華的約櫃請進去，安放在所豫備的地方，就是在大衛所搭的帳幕裡，大衛在耶和華面前，獻燔祭和平安祭。
撒下6:18,大衛獻完了燔祭和平安祭，就奉萬軍之耶和華的名給民祝福。
撒下6:19,並且分給以色列眾人，無論男女，每人一個餅，一塊肉，一個葡萄餅，眾人就各回各家去了。
撒下6:20,大衛回家要給眷屬祝福。掃羅的女兒米甲，出來迎接他，說：以色列王今日在臣僕的婢女眼前露體，如同一個輕賤人無恥露體一樣，有好大的榮耀阿。
撒下6:21,大衛對米甲說：這是在耶和華面前，耶和華已揀選我，廢了你父和你父的全家，立我作耶和華民以色列的君，所以我必在耶和華面前跳舞。
撒下6:22,我也必更加卑微，自己看為輕賤，你所說的那些婢女，他們倒要尊敬我。
撒下6:23,掃羅的女兒米甲，直到死日，沒有生養兒女。
