出1:1,以色列的眾子，各帶家眷和雅各一同來到埃及，他們的名字記在下面。
出1:2,有流便，西緬，利未，猶大，
出1:3,以薩迦，西布倫，便雅憫，
出1:4,但，拿弗他利，迦得，亞設。
出1:5,凡從雅各而生的，共有七十人，約瑟已經在埃及。
出1:6,約瑟和他的弟兄，並那一代的人都死了。
出1:7,以色列人生養眾多並且繁茂，極其強盛，滿了那地。
出1:8,有不認識約瑟的新王起來，治理埃及。
出1:9,對他的百姓說：看哪，這以色列民比我們還多，又比我們強盛。
出1:10,來罷我們不如用巧計待他們，恐怕他們多起來，日後若遇甚麼爭戰的事，就連合我們的仇敵攻擊我們，離開這地去了。
出1:11,於是埃及人派督工的轄制他們，加重擔苦害他們，他們為法老建造兩座積貨城，就是比東，和蘭塞。
出1:12,只是越發苦害他們，他們越發多起來，越發蔓延，埃及人就因以色列人愁煩。
出1:13,埃及人嚴嚴的使以色列人作工。
出1:14,使他們因作苦工覺得命苦，無論是和泥，是做磚，是作田間各樣的工，在一切的工上都嚴嚴的待他們。
出1:15,有希伯來的兩個收生婆，一名施弗拉，一名普阿，埃及王對他們說：
出1:16,你們為希伯來婦人收生，看他們臨盆的時候，若是男孩，就把他殺了，若是女孩，就留他存活。
出1:17,但是收生婆敬畏神，不照埃及王的吩咐行，竟存留男孩的性命。
出1:18,埃及王召了收生婆來，說：你們為甚麼作這事，存留男孩的性命呢。
出1:19,收生婆對法老說：因為希伯來婦人與埃及婦人不同，希伯來婦人本是健壯的，〔原文作活潑的〕收生婆還沒有到，他們已經生產了。
出1:20,神厚待收生婆，以色列人多起來，極其強盛。
出1:21,收生婆因為敬畏神，神便叫他們成立家室。
出1:22,法老吩咐他的眾民說：以色列人所生的男孩，你們都要丟在河裡，一切的女孩，你們要存留他的性命。
