結12:1,耶和華的話又臨到我說：
結12:2,人子阿，你住在悖逆的家中，他們有眼睛看不見，有耳朵聽不見，因為他們是悖逆之家。
結12:3,所以人子阿，你要豫備擄去使用的物件，在白日當他們眼前從你所住的地方移到別處去，他們雖是悖逆之家，或者可以揣摩思想。
結12:4,你要在白日當他們眼前帶出你的物件去，好像豫備擄去使用的物件，到了晚上，你要在他們眼前親自出去，像被擄的人出去一樣。
結12:5,你要在他們眼前挖通了牆，從其中將物件帶出去。
結12:6,到天黑時，你要當他們眼前搭在肩頭上帶出去，並要蒙住臉看不見地，因為我立你作以色列家的豫兆。
結12:7,我就照著所吩咐的去行，白日帶出我的物件，好像豫備擄去使用的物件，到了晚上，我用手挖通了牆，天黑的時候，就當他們眼前搭在肩頭上帶出去。
結12:8,次日早晨，耶和華的話臨到我說：
結12:9,人子阿，以色列家，就是那悖逆之家，豈不是問你說：你作什麼呢。
結12:10,你要對他們說：主耶和華如此說：這是關乎耶路撒冷的君王，和他周圍以色列全家的豫表。〔原文作擔子〕
結12:11,你要說：我作你們的豫兆，我怎樣行，他們所遭遇的也必怎樣，他們必被擄去。
結12:12,他們中間的君王，也必在天黑的時候將物件搭在肩頭上帶出去，他們要挖通了牆，從其中帶出去，他必蒙住臉，眼看不見地。
結12:13,我必將我的網撒在他身上，他必在我的網羅中纏住，我必帶他到迦勒底人之地的巴比倫，他雖死在那裡，卻看不見那地。
結12:14,周圍一切幫助他的，和他所有的軍隊，我必分散四方，〔方原文作風〕也要拔刀追趕他們。
結12:15,我將他們四散在列國，分散在列邦的時候，他們就知道我是耶和華。
結12:16,我卻要留下他們幾個人得免刀劍，飢荒，瘟疫，使他們在所到的各國中，述說他們一切可憎的事，人就知道我是耶和華。
結12:17,耶和華的話又臨到我說：
結12:18,人子阿，你吃飯必膽戰，喝水必惶惶憂慮。
結12:19,你要對這地的百姓說：主耶和華論耶路撒冷，和以色列地的居民，如此說：他們吃飯必憂慮，喝水必驚惶，因其中居住的眾人所行強暴的事，這地必然荒廢，一無所存。
結12:20,有居民的城邑必變為荒場，地也必變為荒廢，你們就知道我是耶和華。
結12:21,耶和華的話臨到我說：
結12:22,人子阿，在你們以色列地，怎麼有這俗語說：日子遲延，一切異象都落了空呢。
結12:23,你要告訴他們說：主耶和華如此說：我必使這俗語止息，以色列中不再用這俗語，你卻要對他們說：日子臨近，一切的異象必都應驗。
結12:24,從此，在以色列家中必不再有虛假的異象，和奉承的占卜。
結12:25,我耶和華說話，所說的必定成就，不再耽延，你們這悖逆之家，我所說的話，必趁你們在世的日子成就，這是主耶和華說的。
結12:26,耶和華的話又臨到我說：
結12:27,人子阿，以色列家的人說：他所見的異象，是關乎後來許多的日子，所說的豫言，是指著極遠的時候。
結12:28,所以你要對他們說：主耶和華如此說：我的話沒有一句再耽延的，我所說的必定成就，這是主耶和華說的。
