創13:1,亞伯蘭帶著他的妻子與羅得，並一切所有的，都從埃及上南地去。
創13:2,亞伯蘭的金，銀，牲畜極多。
創13:3,他從南地漸漸往伯特利去，到了伯特利和艾的中間，就是從前支搭帳棚的地方，
創13:4,也是他起先築壇的地方，他又在那裡求告耶和華的名。
創13:5,與亞伯蘭同行的羅得，也有牛群，羊群，帳棚。
創13:6,那地容不下他們，因為他們的財物甚多，使他們不能同居。
創13:7,當時迦南人，與比利洗人，在那地居住，亞伯蘭的牧人，和羅得的牧人相爭。
創13:8,亞伯蘭就對羅得說：你我不可相爭，你的牧人和我的牧人也不可相爭，因為我們是骨肉。〔原文作弟兄〕
創13:9,遍地不都在你眼前麼，請你離開我，你向左，我就向右，你向右，我就向左。
創13:10,羅得舉目看見約但河的全平原，直到瑣珥，都是滋潤的，那地在耶和華未滅所多瑪，蛾摩拉以先，如同耶和華的園子，也像埃及地。
創13:11,於是羅得選擇約但河的全平原，往東遷移，他們就彼此分離了。
創13:12,亞伯蘭住在迦南地，羅得住在平原的城邑，漸漸挪移帳棚，直到所多瑪。
創13:13,所多瑪人在耶和華面前罪大惡極。
創13:14,羅得離別亞伯蘭以後，耶和華對亞伯蘭說：從你所在的地方，你舉目向東西南北觀看。
創13:15,凡你所看見的一切地，我都要賜給你和你的後裔，直到永遠。
創13:16,我也要使你的後裔如同地上的塵沙那樣多，人若能數算地上的塵沙，才能數算你的後裔。
創13:17,你起來，縱橫走遍這地，因為我必把這地賜給你。
創13:18,亞伯蘭就搬了帳棚，來到希伯崙幔利的橡樹那裡居住，在那裡為耶和華築了一座壇。
