珥3:1,到那日，我使猶大和耶路撒冷被擄之人歸回的時候，
珥3:2,我要聚集萬民，帶他們下到約沙法谷，在那裡施行審判，因為他們將我的百姓，就是我的產業以色列，分散在列國中，又分取我的地土。
珥3:3,且為我的百姓拈鬮，將童子換妓女，賣童女買酒喝。
珥3:4,推羅西頓，和非利士四境的人哪，你們與我何干，你們要報復我麼，若報復我，我必使報應速速歸到你們的頭上。
珥3:5,你們既然奪取我的金銀，又將我可愛的寶物帶入你們宮殿，〔或作廟中〕
珥3:6,並將猶大人，和耶路撒冷人，賣給希臘人〔原文是雅完人〕使他們遠離自己的境界。
珥3:7,我必激動他們離開你們所賣到之地，又必使報應歸到你們的頭上。
珥3:8,我必將你們的兒女賣在猶大人的手中，他們必賣給遠方示巴國的人，這是耶和華說的。
珥3:9,當在萬民中宣告說：要豫備打仗，激動勇士，使一切戰士上前來。
珥3:10,要將犁頭打成刀劍，將鐮刀打成戈矛，軟弱的要說：我有勇力。
珥3:11,四圍的列國阿，你們要速速地來，一同聚集，耶和華阿，求你使你的大能者降臨。
珥3:12,萬民都當興起，上到約沙法谷，因為我必坐在那裡，審判四圍的列國。
珥3:13,開鐮罷，因為莊稼熟了，踐踏罷。因為酒醡滿了，酒池盈溢，他們的罪惡甚大。
珥3:14,許多許多的人在斷定谷，因為耶和華的日子臨近斷定谷。
珥3:15,日月昏暗，星宿無光。
珥3:16,耶和華必從錫安吼叫，從耶路撒冷發聲，天地就震動，耶和華卻要作他百姓的避難所，作以色列人的保障。
珥3:17,你們就知道我是耶和華你們的神，且又住在錫安我的聖山，那時，耶路撒冷必成為聖，外邦人不再從其中經過。
珥3:18,到那日，大山要滴甜酒，小山要流奶子，猶大溪河，都有水流，必有泉源從耶和華的殿中流出來，滋潤什亭谷。
珥3:19,埃及必然荒涼，以東變為悽涼的曠野，都因向猶大人所行的強暴，又因在本地流無辜人的血。
珥3:20,但猶大必存到永遠，耶路撒冷必存到萬代。
珥3:21,我未曾報復〔或作洗除下同〕流血的罪，現在我要報復，因為耶和華住在錫安。
