士5:1,那時底波拉和亞比挪菴的兒子巴拉作歌，說：
士5:2,因為以色列中有軍長率領，百姓也甘心犧牲自己，你們應當頌讚耶和華。
士5:3,君王阿，要聽，王子阿，要側耳而聽，我要向耶和華歌唱，我要歌頌耶和華以色列的神。
士5:4,耶和華阿，你從西珥出來，由以東地行走，那時地震天漏，雲也落雨。
士5:5,山見耶和華的面，就震動，西乃山見耶和華以色列神的面，也是如此。
士5:6,在亞拿之子珊迦的時候，又在雅億的日子，大道無人行走，都是繞道而行。
士5:7,以色列中的官長停職，直到我底波拉興起，等我興起作以色列的母。
士5:8,以色列人選擇新神，爭戰的事就臨到城門，那時以色列四萬人中豈能見籐牌槍矛呢。
士5:9,我心傾向以色列的首領，他們在民中甘心犧牲自己，你們應當頌讚耶和華。
士5:10,騎白驢的，坐繡花毯子的，行路的，你們都當傳揚。
士5:11,在遠離弓箭響聲打水之處，人必述說耶和華公義的作為，就是他治理以色列公義的作為。那時耶和華的民下到城門。
士5:12,底波拉阿，興起，興起，你當興起，興起，唱歌，亞比挪菴的兒子巴拉阿，你當奮興，擄掠你的敵人。
士5:13,那時有餘剩的貴冑，和百姓一同下來，耶和華降臨，為我攻擊勇士。
士5:14,有根本在亞瑪力人的地，從以法蓮下來的。便雅憫在民中跟隨你，有掌權的從瑪吉下來，有持杖檢點民數的從西布倫下來。
士5:15,以薩迦的首領與底波拉同來，以薩迦怎樣，巴拉也怎樣，眾人都跟隨巴拉，衝下平原。在流便的溪水旁有心中定大志的。
士5:16,你為何坐在羊圈內，聽群中吹笛的聲音呢，在流便的溪水旁有心中設大謀的。
士5:17,基列人安居在約但河外，但人為何等在船上，亞設人在海口靜坐，在港口安居。
士5:18,西布倫人是拚命敢死的，拿弗他利人在田野的高處，也是如此。
士5:19,君王都來爭戰，那時迦南諸王在米吉多水旁的他納爭戰，卻未得擄掠銀錢。
士5:20,星宿從天上爭戰，從其軌道攻擊西西拉。
士5:21,基順古河，把敵人沖沒，我的靈阿，應當努力前行。
士5:22,那時壯馬馳驅，踢跳，奔騰。
士5:23,耶和華的使者說：應當咒詛米羅斯，大大咒詛其中的居民，因為他們不來幫助耶和華，不來幫助耶和華攻擊勇士。
士5:24,願基尼人希百的妻雅億，比眾婦人多得福氣，比住帳棚的婦人更蒙福祉。
士5:25,西西拉求水，雅億給他奶子，用寶貴的盤子，給他奶油。
士5:26,雅億左手拿著帳棚的橛子，右手拿著匠人的錘子，擊打西西拉，打傷他的頭，把他的鬢角打破穿通。
士5:27,西西拉在他腳前曲身仆倒，在他腳前曲身倒臥，在那裡曲身，就在那裡死亡。
士5:28,西西拉的母親，從窗戶裡往外觀看，從窗櫺中呼叫說：他的戰車，為何耽延不來呢。他的車輪，為何行得慢呢。
士5:29,聰明的宮女安慰他〔原文作回答他〕，他也自言自語的說：
士5:30,他們莫非得財而分，每人得了一兩個女子，西西拉得了彩衣為擄物，得繡花的彩衣為掠物，這彩衣兩面繡花。乃是披在被擄之人頸項上的。
士5:31,耶和華阿，願你的仇敵，都這樣滅亡，願愛你的人如日頭出現，光輝烈烈。這樣國中太平四十年。
