鴻2:1,尼尼微阿，那打碎邦國的上來攻擊你，你要看守保障，謹防道路，使腰強壯，大大勉力。
鴻2:2,耶和華復興雅各的榮華，好像以色列的榮華一樣，因為使地空虛的，已經使雅各和以色列空虛，將他們的葡萄枝毀壞了。
鴻2:3,他勇士的盾牌是紅的，精兵都穿朱紅衣服，在他豫備爭戰的日子，戰車上的鋼鐵閃爍如火，柏木把的槍，也掄起來了。
鴻2:4,車輛在街上〔或作城外〕急行，在寬闊處奔來奔去，形狀如火把，飛跑如閃電。
鴻2:5,尼尼微王招聚他的貴冑，他們步行絆跌，速上城牆，豫備擋牌。
鴻2:6,河閘開放，宮殿沖沒。
鴻2:7,王后蒙羞，被人擄去，宮女搥胸，哀鳴如鴿，此乃命定之事。
鴻2:8,尼尼微自古以來充滿人民，如同聚水的池子，現在居民卻都逃跑，雖有人呼喊說：站住，站住，卻無人回顧。
鴻2:9,你們搶掠金銀罷。因為所積蓄的無窮，華美的寶器無數。
鴻2:10,尼尼微現在空虛荒涼，人心消化，雙膝相碰，腰都疼痛，臉都變色。
鴻2:11,獅子的洞和少壯獅子餧養之處在那裡呢，公獅母獅小獅遊行無人驚嚇之地在那裡呢。
鴻2:12,公獅為小獅撕碎許多食物，為母獅掐死活物，把撕碎的掐死的充滿牠的洞穴。
鴻2:13,萬軍之耶和華說：我與你為敵，必將你的車輛焚燒成煙，刀劍也必吞滅你的少壯獅子。我必從地上除滅你所撕碎的，你使者的聲音，必不再聽見。
