民1:1,以色列人出埃及地後，第二年二月初一日，耶和華在西乃的曠野，會幕中曉諭摩西說：
民1:2,你要按以色列全會眾的家室，宗族，人名的數目計算所有的男丁。
民1:3,凡以色列中，從二十歲以外，能出去打仗的，你和亞倫要照他們的軍隊數點。
民1:4,每支派中，必有一人作本支派的族長，幫助你們。
民1:5,他們的名字，屬流便的，有示丟珥的兒子以利蓿。
民1:6,屬西緬的，有蘇利沙代的兒子示路蔑。
民1:7,屬猶大的，有亞米拿達的兒子拿順。
民1:8,屬以薩迦的，有蘇押的兒子拿坦業。
民1:9,屬西布倫的，有希倫的兒子以利押。
民1:10,約瑟子孫屬以法蓮的，有亞米忽的兒子以利沙瑪，屬瑪拿西的，有比大蓿的兒子迦瑪列。
民1:11,屬便雅憫的，有基多尼的兒子亞比但。
民1:12,屬但的，有亞米沙代的兒子亞希以謝。
民1:13,屬亞設的，有俄蘭的兒子帕結。
民1:14,屬迦得的，有丟珥的兒子以利雅薩。
民1:15,屬拿弗他利的，有以南的兒子亞希拉。
民1:16,這都是從會中選召的，各作本支派的首領，都是以色列軍中的統領。
民1:17,於是摩西亞倫帶著這些按名指定的人，
民1:18,當二月初一日招聚全會眾。會眾就照他們的家室，宗族，人名的數目，從二十歲以外的，都述說自己的家譜。
民1:19,耶和華怎樣吩咐摩西，他就怎樣在西乃的曠野數點他們。
民1:20,以色列的長子，流便子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的男丁，共有四萬六千五百名。
民1:21,見上節
民1:22,西緬子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的男丁，共有五萬九千三百名。
民1:23,見上節
民1:24,迦得子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有四萬五千六百五十名。
民1:25,見上節
民1:26,猶大子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有七萬四千六百名。
民1:27,見上節
民1:28,以薩迦子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有五萬四千四百名。
民1:29,見上節
民1:30,西布倫子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有五萬七千四百名。
民1:31,見上節
民1:32,約瑟子孫屬以法蓮子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有四萬零五百名。
民1:33,見上節
民1:34,瑪拿西子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有三萬二千二百名。
民1:35,見上節
民1:36,便雅憫子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有三萬五千四百名。
民1:37,見上節
民1:38,但子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有六萬二千七百名。
民1:39,見上節
民1:40,亞設子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有四萬一千五百名。
民1:41,見上節
民1:42,拿弗他利子孫的後代，照著家室，宗族，人名的數目，從二十歲以外，凡能出去打仗被數的，共有五萬三千四百名。
民1:43,見上節
民1:44,這些就是被數點的，是摩西亞倫，和以色列中十二個首領所數點的，這十二個人各作各宗族的代表。
民1:45,這樣凡以色列人中被數的，照著宗族從二十歲以外，能出去打仗被數的，共有六十萬零三千五百五十名。
民1:46,見上節
民1:47,利未人卻沒有按著支派數在其中，
民1:48,因為耶和華曉諭摩西說：
民1:49,惟獨利未支派你不可數點，也不可在以色列人中計算他們的總數。
民1:50,只要派利未人管法櫃的帳幕和其中的器具，並屬乎帳幕的，他們要抬〔或作搬運〕帳幕和其中的器具，並要辦理帳幕的事，在帳幕的四圍安營。
民1:51,帳幕將往前行的時候，利未人要拆卸，將支搭的時候，利未人要豎起，近前來的外人必被治死。
民1:52,以色列人支搭帳棚，要照他們的軍隊，各歸本營，各歸本纛。
民1:53,但利未人要在法櫃帳幕的四圍安營，免得忿怒臨到以色列會眾，利未人並要謹守法櫃的帳幕。
民1:54,以色列人就這樣行，凡耶和華所吩咐摩西的，他們就照樣行了。
