民8:1,耶和華曉諭摩西說：
民8:2,你告訴亞倫說：點燈的時候，七盞燈都要向燈臺前面發光。
民8:3,亞倫便這樣行，他點燈臺上的燈，使燈向前發光，是照耶和華所吩咐摩西的。
民8:4,這燈臺的作法，是用金子錘出來的，連座帶花都是錘出來的，摩西製造燈臺，是照耶和華所指示的樣式。
民8:5,耶和華曉諭摩西說：
民8:6,你從以色列人中選出利未人來，潔淨他們。
民8:7,潔淨他們當這樣行，用除罪水彈在他們身上，又叫他們用剃頭刀刮全身，洗衣服潔淨自己。
民8:8,然後叫他們取一隻公牛犢，並同獻的素祭，就是調油的細麵，你要另取一隻公牛犢作贖罪祭。
民8:9,將利未人奉到會幕前，招聚以色列全會眾。
民8:10,將利未人奉到耶和華面前，以色列人要按手在他們頭上。
民8:11,亞倫也將他們奉到耶和華面前，為以色列人當作搖祭，使他們好辦耶和華的事。
民8:12,利未人要按手在那兩隻牛的頭上，你要將一隻作贖罪祭，一隻作燔祭，獻給耶和華，為利未人贖罪。
民8:13,你也要使利未人站在亞倫和他兒子面前，將他們當作搖祭奉給耶和華。
民8:14,這樣，你從以色列人中將利未人分別出來，利未人便要歸我。
民8:15,此後利未人要進去辦會幕的事，你要潔淨他們，將他們當作搖祭奉上。
民8:16,因為他們是從以色列人中全然給我的，我揀選他們歸我，是代替以色列人中一切頭生的。
民8:17,以色列人中一切頭生的，連人帶牲畜，都是我的，我在埃及地擊殺一切頭生的那天，將他們分別為聖歸我。
民8:18,我揀選利未人代替以色列人中一切頭生的。
民8:19,我從以色列人中，將利未人當作賞賜給亞倫和他的兒子，在會幕中辦以色列人的事，又為以色列人贖罪，免得他們挨近聖所有災殃臨到他們中間。
民8:20,摩西，亞倫，並以色列全會眾，便向利未人如此行，凡耶和華指著利未人所吩咐摩西的，以色列人就向他們這樣行。
民8:21,於是利未人潔淨自己，除了罪，洗了衣服，亞倫將他們當作搖祭奉到耶和華面前，又為他們贖罪潔淨他們。
民8:22,然後利未人進去，在亞倫和他兒子面前，在會幕中辦事，耶和華指著利未人怎樣吩咐摩西，以色列人就怎樣向他們行了。
民8:23,耶和華曉諭摩西說：
民8:24,利未人是這樣，從二十五歲以外，他們要前來任職，辦會幕的事。
民8:25,到了五十歲要停工退任，不再辦事。
民8:26,只要在會幕裡，和他們的弟兄一同伺候謹守所吩咐的，不再辦事了，至於所吩咐利未人的，你要這樣向他們行。
