詩79:1,〔亞薩的詩。〕神阿，外邦人進入你的產業，污穢你的聖殿，使耶路撒冷變成荒堆。
詩79:2,把你僕人的屍首，交與天空的飛鳥為食，把你聖民的肉，交與地上的野獸。
詩79:3,在耶路撒冷周圍流他們的血如水，無人葬埋。
詩79:4,我們成為鄰國的羞辱，成為我們四圍人的嗤笑譏刺。
詩79:5,耶和華阿，這到幾時呢，你要動怒到永遠麼，你的憤恨要如火焚燒麼。
詩79:6,願你將你的忿怒倒在那不認識你的外邦，和那不求告你名的國度。
詩79:7,因為他們吞了雅各，把他的住處變為荒場。
詩79:8,求你不要記念我們先祖的罪孽，向我們追討，願你的慈悲快迎著我們，因為我們落到極卑微的地步。
詩79:9,拯救我們的神阿，求你因你名的榮耀，幫助我們，為你名的緣故，搭救我們，赦免我們的罪。
詩79:10,為何容外邦人說：他們的神在那裡呢，願你使外邦人知道你在我們眼前，伸你僕人流血的冤。
詩79:11,願被囚之人的歎息，達到你面前，願你按你的大能力，存留那些將要死的人。
詩79:12,主阿，願你將我們鄰邦所羞辱你的羞辱，加七倍歸到他們身上。
詩79:13,這樣，你的民，你草場的羊，要稱謝你，直到永遠，要述說讚美你的話，直到萬代。
