亞14:1,耶和華的日子臨近，你的財物必被搶掠，在你中間分散。
亞14:2,因為我必聚集萬國與耶路撒冷爭戰，城必被攻取，房屋被搶奪，婦女被玷污，城中的民一半被擄去，剩下的民，仍在城中，不致剪除。
亞14:3,那時，耶和華必出去與那些國爭戰，好像從前爭戰一樣。
亞14:4,那日，他的腳必站在耶路撒冷前面朝東的橄欖山上，這山必從中間分裂，自東至西，成為極大的谷，山的一半向北挪移，一半向南挪移。
亞14:5,你們要從我山的谷中逃跑，因為山谷必延到亞薩，你們逃跑，必如猶大王烏西雅年間的人逃避大地震一樣，耶和華我的神必降臨，有一切聖者同來。
亞14:6,那日，必沒有光，三光必退縮。
亞14:7,那日，必是耶和華所知道的，不是白晝，也不是黑夜，到了晚上才有光明。
亞14:8,那日，必有活水從耶路撒冷出來，一半往東海流，一半往西海流，冬夏都是如此。
亞14:9,耶和華必作全地的王，那日耶和華必為獨一無二的，他的名也是獨一無二的。
亞14:10,全地，從迦巴直到耶路撒冷南方的臨門，要變為亞拉巴，耶路撒冷必仍居高位，就是從便雅憫門到第一門之處，又到角門，並從哈楠業樓，直到王的酒醡。
亞14:11,人必住在其中，不再有咒詛，耶路撒冷人必安然居住。
亞14:12,耶和華用災殃攻擊那與耶路撒冷爭戰的列國人，必是這樣，他們兩腳站立的時候，肉必消沒，眼在眶中乾癟，吞在口中潰爛。
亞14:13,那日，耶和華必使他們大大擾亂，他們各人彼此揪住，舉手攻擊。
亞14:14,猶大也必在耶路撒冷爭戰，那時四圍各國的財物，就是許多金銀衣服，必被收聚。
亞14:15,那臨到馬匹，騾子，駱駝，驢，和營中一切牲畜的災殃是與那災殃一般。
亞14:16,所有來攻擊耶路撒冷列國中剩下的人，必年年上來敬拜大君王萬軍之耶和華，並守住棚節。
亞14:17,地上萬族中，凡不上耶路撒冷敬拜大君王萬軍之耶和華的，必無雨降在他們的地上。
亞14:18,埃及族若不上來，雨也不降在他們的地上，凡不上來守住棚節的列國人，耶和華也必用這災攻擊他們。
亞14:19,這就是埃及的刑罰，和那不上來守住棚節之列國的刑罰。
亞14:20,當那日，馬的鈴鐺上，必有歸耶和華為聖的這句話，耶和華殿內的鍋必如祭壇前的碗一樣。
亞14:21,凡耶路撒冷和猶大的鍋，都必歸萬軍之耶和華為聖，凡獻祭的，都必來取這鍋，煮肉在其中。當那日，在萬軍之耶和華的殿中必不再有迦南人。
