亞7:1,大利烏王第四年九月，就是基斯流月，初四日，耶和華的話臨到撒迦利亞。
亞7:2,那時伯特利人已經打發沙利色，和利堅米勒，並跟從他們的人，去懇求耶和華的恩，
亞7:3,並問萬軍之耶和華殿中的祭司，和先知說：我歷年以來，在五月間哭泣齋戒，現在還當這樣行麼。
亞7:4,萬軍之耶和華的話就臨到我說：
亞7:5,你要宣告國內的眾民，和祭司，說：你們這七十年在五月七月禁食悲哀，豈是絲毫向我禁食麼。
亞7:6,你們吃喝，不是為自己吃，為自己喝麼。
亞7:7,當耶路撒冷和四圍的城邑有居民，正興盛，南地高原有人居住的時候，耶和華藉從前的先知所宣告的話，你們不當聽麼。
亞7:8,耶和華的話又臨到撒迦利亞說：
亞7:9,萬軍之耶和華曾對你們的列祖如此說：要按至理判斷，各人以慈愛憐憫弟兄。
亞7:10,不可欺壓寡婦，孤兒，寄居的，和貧窮人，誰都不可心裡謀害弟兄。
亞7:11,他們卻不肯聽從，扭轉肩頭，塞耳不聽。
亞7:12,使心硬如金鋼石，不聽律法，和萬軍之耶和華用靈藉從前的先知所說的話，故此，萬軍之耶和華大發烈怒。
亞7:13,萬軍之耶和華說：我曾呼喚他們，他們不聽，將來他們呼求我，我也不聽。
亞7:14,我必以旋風吹散他們到素不認識的萬國中。這樣，他們的地就荒涼，甚至無人來往經過，因為他們使美好之地荒涼了。
